year/make/model,price,value,engine,trans,trim,group,horsepower,mpg,
2018 Honda Accord Hybrid,"$25,100 ",N/A,Engine: 4-Cyl 2.0 Liter,Continuously Variable Automatic Mode Select,Base Sedan,Passenger Car,212@6200,47 City /  47 Hwy,
2018 Honda Clarity,"$33,400 ",N/A,Engine: 4-Cyl 1.5 Liter,Continuously Variable Automatic,Plug-in Hybrid Sedan,Passenger Car,212@5500,N/A,Sedan
2018 Honda Fit,"$16,190 ",Excellent,Engine: 4-Cyl 1.5 Liter Earth Dreams Technology™,6 Speed Manual,LX (Manual) Hatchback,Compact Passenger Car,130@6600,29 City /  36 Hwy,
2018 Honda Pilot,"$30,900 ",Above Average,Engine: V6 3.5 Liter,6 Speed Automatic,LX 2WD,Full-Size Utility,280@6000,19 City /  27 Hwy,
2018 Honda Ridgeline,"$29,730 ",Above Average,Engine: V6 3.5 Liter,6 Speed Automatic,RT 2WD,Mid-Size Pickup,280@6000,19 City /  26 Hwy,
2018 Honda Civic,"$18,940 ",Above Average,Engine: 4-Cyl 2.0 Liter,6 Speed Manual,LX (Manual) Sedan,Compact Passenger Car,158@6500,28 City /  40 Hwy,
2018 Honda CR-V,"$24,250 ",Average,Engine: 4-Cyl 2.4 Liter Earth Dreams Technology™,Continuously Variable Automatic Mode Select,LX 2WD,Mid-Size Utility,184@6400,26 City /  32 Hwy,
2018 Honda HR-V,"$19,670 ",Above Average,Engine: 4-Cyl 1.8 Liter,6 Speed Manual,LX 2WD (Manual),Compact Utility,141@6500,25 City /  33 Hwy,
2018 Honda Accord,"$23,570 ",Excellent,Engine: 4-Cyl Turbo 1.5 Liter,Continuously Variable Automatic Mode Select,1.5T LX Sedan,Passenger Car,192@5500,30 City /  38 Hwy,
2018 Hyundai Tucson,"$22,550 ",N/A,Engine: 4-Cyl 2.0 Liter Nu,SHIFTRONIC® 6 Speed Automatic Mode Select with Manual Mode (A6MF1),SE FWD,Compact Utility,164@6200,23 City /  30 Hwy,
2018 Hyundai Accent,"$14,995 ",Above Average,Engine: 4-Cyl 1.6 Liter Gamma,6 Speed Manual (M6CF1),SE (Manual) Sedan,Compact Passenger Car,130@6300,28 City /  37 Hwy,
2018 Hyundai Santa Fe Sport,"$24,950 ",Below Average,Engine: 4-Cyl 2.4 Liter Theta II,SHIFTRONIC 6 Speed Automatic with Manual Mode,Base FWD,Mid-Size Utility,185@6000,21 City /  27 Hwy,
2018 Hyundai Santa Fe,"$30,850 ",Below Average,Engine: V6 3.3 Liter Lambda II,SHIFTRONIC 6 Speed Automatic with Manual Mode,SE FWD,Mid-Size Utility,290@6400,18 City /  25 Hwy,
2018 Hyundai Kona,"$19,500 ",N/A,Engine: 4-Cyl 2.0 Liter,SHIFTRONIC® 6 Speed Automatic Mode Select with Manual Mode (A6MF1),SE FWD,Compact Utility,147@6200,27 City /  33 Hwy,
2018 Hyundai Ioniq,"$22,200 ",N/A,Engine: 4-Cyl 1.6 Liter Atkinson,EcoShift® 6 Speed Automatic,Hybrid Blue Sedan,Compact Passenger Car,139@5700,57 City /  59 Hwy,
2018 Hyundai Elantra,"$17,950 ",Above Average,Engine: 4-Cyl 2.0 Liter Nu,SHIFTRONIC 6 Speed Automatic Mode Select with Manual Mode (A6GF1),SE Sedan,Passenger Car,147@6200,29 City /  38 Hwy,
2018 Hyundai Sonata Hybrid,N/A,N/A,N/A,N/A,Base Sedan,N/A,N/A,N/A,Sedan
2018 Hyundai Sonata,"$22,050 ",Average,Engine: 4-Cyl 2.4 Liter Theta II,SHIFTRONIC 6 Speed Automatic Mode Select with Manual Mode,SE Sedan,Passenger Car,185@6000,25 City /  36 Hwy,
2018 Infiniti Q70,"$50,300 ",Average,Engine: V6 3.7 Liter,7 Speed Automatic Mode Select with Manual Mode,3.7 LUXE Sedan,Luxury Passenger Car,330@7000,18 City /  25 Hwy,
2018 Infiniti Q60,"$39,950 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,7 Speed Automatic Mode Select with Manual Mode,2.0t PURE Coupe,Premium Sporty/Coupe,208@5500,22 City /  30 Hwy,
2018 Infiniti Q50,"$35,200 ",Average,Engine: 4-Cyl Turbo 2.0 Liter,7 Speed Automatic Mode Select with Manual Mode,2.0t PURE Sedan,Premium Passenger Car,208@5500,23 City /  30 Hwy,
2018 Infiniti QX30,"$29,950 ",Above Average,Engine: 4-Cyl Turbo 2.0 Liter,7 Speed Automatic,Base,Premium Compact Utility,208@5500,24 City /  33 Hwy,
2018 Infiniti QX80,"$64,750 ",N/A,Engine: V8 5.6 Liter,Adaptive Shift Control (ASC) 7 Speed Automatic Mode Select with Manual Mode,Base 2WD,Luxury Utility,400@5800,14 City /  20 Hwy,
2018 Infiniti QX60,"$43,300 ",Average,Engine: V6 3.5 Liter,Continuously Variable Automatic Mode Select with Manual Mode,RWD,Premium Full-Size Utility,295@6400,20 City /  27 Hwy,
2018 Jaguar E-PACE,"$38,600 ",Below Average,Engine: 4-Cyl Turbo 2.0 Liter,9 Speed Automatic with Manual Mode (ZF 9HP48),Base Sport Utility,Premium Compact Utility,246@5500,21 City /  28 Hwy,
2018 Jaguar XJ,"$75,400 ",Poor,Engine: V6 Supercharged 3.0 Liter,Jaguar Sequential Shift™ 8 Speed Automatic Mode Select with Manual Mode (ZF 8HP45),R-Sport Sedan,Luxury Passenger Car,340@6500,18 City /  27 Hwy,
2018 Jaguar F-PACE,"$42,065 ",Above Average,Engine: 4-Cyl Turbo 2.0 Liter,ZF 8 Speed Automatic Mode Select with Manual Mode (ZF 8HP70),25t,Luxury Utility,247@5500,22 City /  27 Hwy,
2018 Jaguar XE,"$35,725 ",Average,Engine: 4-Cyl Turbo 2.0 Liter,8 Speed Automatic with Manual Mode (ZF 8HP45),25t Sedan,Premium Compact Passenger Car,247@5500,25 City /  34 Hwy,
2018 Jaguar F-Type,"$59,900 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,ZF 8 Speed Automatic Mode Select with Manual Mode (ZF-8HP70),2018.5 296hp Coupe,Premium Sporty/Coupe,296@5500,23 City /  30 Hwy,
2018 Jaguar XF,"$47,775 ",Above Average,Engine: 4-Cyl Turbo 2.0 Liter,Jaguar Sequential Shift 8 Speed Automatic Mode Select with Manual Mode (ZF8HP45),25t Sedan,Luxury Passenger Car,247@5500,25 City /  34 Hwy,
2018 Jeep Renegade,"$18,445 ",Below Average,Engine: 4-Cyl Turbo 1.4 Liter,6 Speed Manual (C635),Sport 2WD,Compact Utility,160@5500,24 City /  31 Hwy,
2018 Jeep Grand Cherokee,"$30,895 ",Excellent,Engine: V6 3.6 Liter Pentastar,8 Speed Automatic Mode Select with Manual Mode (850RE),Laredo 2WD,Premium Mid-Size Utility,295@6400,19 City /  26 Hwy,
2018 Jeep Wrangler JK,"$23,995 ",Excellent,Engine: V6 3.6 Liter Pentastar,6 Speed Manual (NSG370),Sport,Compact Utility,285@6400,17 City /  21 Hwy,
2018 Jeep Compass,"$21,095 ",Average,Engine: 4-Cyl 2.4 Liter,6 Speed Manual (C635),Sport 2WD,Compact Utility,180@6400,22 City /  31 Hwy,
2018 Jeep Wrangler,"$29,195 ",Excellent,Engine: V6 3.6 Liter Pentastar,6 Speed Manual (NSG370),Golden Eagle,Compact Utility,285@6400,17 City /  21 Hwy,
2018 Jeep Cherokee,"$24,395 ",Average,Engine: 4-Cyl 2.4 Liter Tigershark,9 Speed Automatic with Manual Mode (948TE),Latitude 2WD,Mid-Size Utility,184@6400,21 City /  30 Hwy,
2018 Karma Revero,"$130,000 ",N/A,Engine: 4-Cyl Turbo 2.0 Liter Ecotec,1 Speed Automatic Mode Select,Base Sedan,Luxury Passenger Car,403@5300,N/A,Sedan
2018 Kia Soul,"$16,200 ",Above Average,Engine: 4-Cyl 1.6 Liter Gamma GDI,6 Speed Manual,(Manual) Wagon,Compact Utility,130@6300,24 City /  30 Hwy,
2018 Kia Optima Hybrid,"$30,990 ",N/A,Engine: 4-Cyl 2.0 Liter Nu 2.0 GDI,Sportmatic 6 Speed Automatic Mode Select with Manual Mode,EX Sedan,Passenger Car,192@6000,39 City /  46 Hwy,
2018 Kia Stinger,"$31,900 ",Average,Engine: 4-Cyl Turbo 2.0 Liter Theta II,8 Speed Automatic Mode Select with Manual Mode,Base Hatchback,Premium Passenger Car,255@6200,22 City /  29 Hwy,
2018 Kia Sedona,"$27,000 ",Poor,Engine: V6 3.3 Liter Lambda II,Sportmatic 6 Speed Automatic Mode Select with Manual Mode,L,Minivan,276@6000,18 City /  24 Hwy,
2018 Kia Sorento,"$25,900 ",Below Average,Engine: 4-Cyl 2.4 Liter Theta II,Sportmatic 6 Speed Automatic with Manual Mode,L FWD,Mid-Size Utility,185@6000,21 City /  28 Hwy,
2018 Kia Niro,"$23,340 ",Above Average,Engine: 4-Cyl 1.6 Liter Kappa,6 Speed Automatic,FE Hatchback,Compact Utility,139@5700,52 City /  49 Hwy,
2018 Kia Forte,"$16,800 ",Average,Engine: 4-Cyl 2.0 Liter,6 Speed Manual,LX (Manual) Sedan,Passenger Car,147@6200,25 City /  34 Hwy,
2018 Kia Optima,"$22,600 ",Below Average,Engine: 4-Cyl 2.4 Liter Theta II,H-Matic 6 Speed Automatic Mode Select with Manual Mode,LX 2.4 Sedan,Passenger Car,185@6000,24 City /  34 Hwy,
2018 Kia Cadenza,"$44,690 ",N/A,Engine: V6 3.3 Liter,Sportmatic 8 Speed Automatic Mode Select with Manual Mode,Limited Sedan,Premium Passenger Car,290@6400,20 City /  28 Hwy,
2018 Kia Sportage,"$23,600 ",Average,Engine: 4-Cyl 2.4 Liter Theta II,Sportmatic® 6 Speed Automatic with Manual Mode,LX 2WD,Compact Utility,181@6000,23 City /  30 Hwy,
2018 Kia Rio,"$13,900 ",Above Average,Engine: 4-Cyl 1.6 Liter Gamma GDI,6 Speed Manual,LX (Manual) Sedan,Compact Passenger Car,130@6300,29 City /  37 Hwy,
2018 Lamborghini Aventador,"$417,650 ",N/A,Engine: V12 6.5 Liter,ISR 7 Speed Automatic,S Coupe,Luxury Performance Car,730@8400,10 City /  17 Hwy,
2018 Lamborghini Huracan,"$238,600 ",N/A,Engine: V10 5.2 Liter,Doppia Frizione 7 Speed Automatic,LP 610-4 Coupe,Luxury Performance Car,602@8250,14 City /  19 Hwy,
2018 Land Rover Range Rover,"$87,350 ",Below Average,Engine: V6 Supercharged 3.0 Liter,8 Speed Automatic Mode Select with Manual Mode (ZF 8HP70),Base,Luxury Utility,340@6500,17 City /  23 Hwy,
2018 Land Rover Range Rover Evoque,"$41,800 ",Below Average,Engine: 4-Cyl Turbo 2.0 Liter,9 Speed Automatic with Manual Mode (ZF 9HP),SE,Premium Compact Utility,237@5500,22 City /  29 Hwy,
2018 Land Rover Range Rover Velar,"$49,900 ",Average,Engine: 4-Cyl Turbo 2.0 Liter,8 Speed Automatic with Manual Mode (ZF 8HP45),Base,Luxury Utility,247@5500,21 City /  27 Hwy,
2018 Land Rover Discovery,"$52,090 ",N/A,Engine: V6 Supercharged 3.0 Liter,8 Speed Automatic Mode Select with Manual Mode (ZF 8HP45),SE,Premium Compact Utility,340@6500,16 City /  21 Hwy,
2018 Land Rover Range Rover Sport,"$66,750 ",N/A,Engine: V6 Supercharged 3.0 Liter,CommandShift® 8 Speed Automatic Mode Select with Manual Mode (ZF 8HP70),SE,Luxury Utility,340@6500,17 City /  23 Hwy,
2018 Land Rover Discovery Sport,"$37,795 ",Poor,Engine: 4-Cyl Turbo 2.0 Liter Si4,9 Speed Automatic Mode Select with Manual Mode (ZF 9HP48),SE,Premium Compact Utility,237@5500,20 City /  25 Hwy,
2018 Lexus RX,"$43,270 ",N/A,Engine: V6 3.5 Liter,Electronically Controlled Continuously Variable Transmission with intelligence (ECVT-,350 FWD,Premium Mid-Size Utility,295@6300,20 City /  27 Hwy,
2018 Lexus IS,"$38,210 ",Average,Engine: 4-Cyl Turbo 2.0 Liter,ECT-i 8 Speed Automatic Mode Select with Manual Mode (AA81E),300 Sedan,Premium Compact Passenger Car,241@5800,22 City /  32 Hwy,
2018 Lexus LS,N/A,N/A,N/A,N/A,500 Sedan,N/A,N/A,19 City /  30 Hwy,
2018 Lexus ES,"$38,950 ",Excellent,Engine: V6 3.5 Liter,6 Speed Automatic Mode Select with Manual Mode (U660E),350 Sedan,Premium Passenger Car,268@6200,21 City /  30 Hwy,
2018 Lexus LC,"$92,000 ",Below Average,Engine: V8 5.0 Liter,Direct Shift 10 Speed Automatic Mode Select with Manual Mode (AGA0E),LC 500 Coupe,Luxury Performance Car,471@7100,16 City /  26 Hwy,
2018 Lexus RC,"$40,640 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,8 Speed Automatic Mode Select with Manual Mode (AA81E),300 Coupe,Premium Sporty/Coupe,241@5800,22 City /  32 Hwy,
2018 Lexus GX,"$52,155 ",Excellent,Engine: V8 4.6 Liter,6 Speed Automatic Mode Select with Manual Mode (A760F),460 Base,Luxury Utility,301@5500,15 City /  18 Hwy,
2018 Lexus NX,"$35,985 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,ECT-i 6 Speed Automatic Mode Select with Manual Mode (U661E),300 FWD,Premium Compact Utility,235@4800,22 City /  28 Hwy,
2018 Lexus GS,"$46,310 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,8 Speed Automatic Mode Select with Manual Mode (AA81E),300 Sedan,Luxury Passenger Car,241@5800,22 City /  32 Hwy,
2018 Lexus LX,"$90,380 ",Above Average,Engine: V8 5.7 Liter,8 Speed Automatic Mode Select with Manual Mode (AE80F),570 Sport Utility,Luxury Utility,383@5600,13 City /  18 Hwy,
2018 Lincoln MKX,"$39,035 ",Poor,Engine: V6 3.7 Liter,SelectShift® 6 Speed Automatic with Manual Mode (44J),Premier FWD,Premium Mid-Size Utility,303@6500,17 City /  25 Hwy,
2018 Lincoln MKC,"$36,110 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter EcoBoost,SelectShift® 6 Speed Automatic with Manual Mode,Select FWD,Premium Compact Utility,240@5500,21 City /  28 Hwy,
2018 Lincoln Navigator,"$76,055 ",Above Average,Engine: V6 Turbo 3.5 Liter,SelectShift® 10 Speed Automatic Mode Select with Manual Mode (44U),Select 2WD,Luxury Utility,450@5500,16 City /  23 Hwy,
2018 Lincoln MKT,"$43,530 ",Poor,Engine: V6 3.7 Liter,SelectShift® 6 Speed Automatic Mode Select with Manual Mode (6F-50),3.7 Premiere FWD,Premium Full-Size Utility,303@6500,16 City /  24 Hwy,
2018 Lincoln Continental,"$50,115 ",Above Average,Engine: V6 3.7 Liter,SelectShift® 6 Speed Automatic Mode Select with Manual Mode (44J),Select AWD Sedan,Luxury Passenger Car,305@6500,16 City /  24 Hwy,
2018 Lincoln MKZ,"$37,355 ",Above Average,Engine: 4-Cyl Turbo 2.0 Liter,SelectShift® 6 Speed Automatic with Manual Mode (6F-35),Select FWD Sedan,Premium Passenger Car,245@5500,21 City /  31 Hwy,
2018 Maserati Levante,"$74,050 ",N/A,Engine: V6 Turbo 3.0 Liter,8 Speed Automatic with Manual Mode (AT8 - HP70),Base,Luxury Utility,345@5750,14 City /  20 Hwy,
2018 Maserati GranTurismo,"$132,975 ",N/A,Engine: V8 4.7 Liter,6 Speed Automatic Mode Select with Manual Mode (ZF 6HP26),Base Coupe,Luxury Performance Car,454@7600,13 City /  21 Hwy,
2018 Maserati Quattroporte,"$105,600 ",N/A,Engine: V6 Turbo 3.0 Liter,ZF-8 8 Speed Automatic Mode Select with Manual Mode (8HP70),S Sedan,Luxury Performance Car,424@5500,16 City /  23 Hwy,
2018 Maserati Ghibli,"$78,750 ",N/A,Engine: V6 Turbo 3.0 Liter,8 Speed Automatic Mode Select with Manual Mode (AT8 - HP70),S Sedan,Luxury Performance Car,424,16 City /  24 Hwy,
2018 Mazda CX-9,"$32,130 ",Below Average,Engine: 4-Cyl Turbo 2.5 Liter SKYACTIV-G,SKYACTIV-DRIVE 6 Speed Automatic Mode Select with Manual Mode,Sport FWD,Full-Size Utility,227@5000,22 City /  28 Hwy,
2018 Mazda CX-3,"$20,110 ",Average,Engine: 4-Cyl 2.0 Liter SKYACTIV-G®,SKYACTIV-DRIVE® 6 Speed Automatic with Manual Mode,Sport FWD Sport Utility,Compact Utility,146@6000,29 City /  34 Hwy,
2018 Mazda Mazda3,"$18,095 ",Above Average,Engine: 4-Cyl 2.0 Liter SKYACTIV-G®,SKYACTIV-MT® 6 Speed Manual,Sport (Manual) Sedan,Compact Passenger Car,155@6000,28 City /  38 Hwy,
2018 Mazda Miata,"$25,295 ",N/A,Engine: 4-Cyl 2.0 Liter SKYACTIV-G®,Continuously Variable Automatic with Manual Mode,Sport (Manual) Convertible,Convertible,155@6000,26 City /  33 Hwy,
2018 Mazda Mazda6,"$21,950 ",N/A,Engine: 4-Cyl 2.5 Liter SKYACTIV-G®,SKYACTIV-MT® 6 Speed Manual,Sport (Manual) Sedan,Passenger Car,187@6000,24 City /  33 Hwy,
2018 Mazda CX-5,"$24,150 ",Average,Engine: 4-Cyl 2.5 Liter SKYACTIV-G®,SKYACTIV-DRIVE® 6 Speed Automatic with Manual Mode,Sport FWD (Auto),Compact Utility,187@6000,25 City /  31 Hwy,
2018 Mercedes-Benz SLC-Class,"$48,400 ",Average,Engine: 4-Cyl Turbo 2.0 Liter,9G-TRONIC 9 Speed Automatic Mode Select with Manual Mode,SLC300 Convertible,Premium Performance Car,241@5500,25 City /  32 Hwy,
2018 Mercedes-Benz CLS-Class,"$75,150 ",Poor,Engine: V8 Turbo 4.7 Liter,9G-TRONIC 9 Speed Automatic with Manual Mode,CLS550 Sedan,Luxury Performance Car,402@5000,18 City /  26 Hwy,
2018 Mercedes-Benz GLS-Class,"$69,550 ",Average,Engine: V6 Turbo 3.0 Liter,9G-TRONIC 9 Speed Automatic Mode Select with Manual Mode,GLS450 Sport Utility,Luxury Utility,362@5250,17 City /  22 Hwy,
2018 Mercedes-Benz GLE-Class Coupe,"$70,500 ",Below Average,Engine: V6 Turbo 3.0 Liter,9G-TRONIC 9 Speed Automatic with Manual Mode,GLE43 AMG Sport Utility,Luxury Utility,385@6100,17 City /  22 Hwy,
2018 Mercedes-Benz GLA-Class,"$33,400 ",Average,Engine: 4-Cyl Turbo 2.0 Liter,7 Speed Automatic Mode Select,GLA250 Sport Utility,Premium Compact Utility,208@5500,24 City /  33 Hwy,
2018 Mercedes-Benz E-Class,"$52,950 ",Above Average,Engine: 4-Cyl Turbo 2.0 Liter,9G-TRONIC 9 Speed Automatic Mode Select with Manual Mode,E300  Sedan,Luxury Passenger Car,241@5500,22 City /  30 Hwy,
2018 Mercedes-Benz CLA-Class,"$32,700 ",Below Average,Engine: 4-Cyl Turbo 2.0 Liter,7 Speed Automatic,CLA250 Sedan,Premium Compact Passenger Car,208@5500,24 City /  37 Hwy,
2018 Mercedes-Benz G-Class,"$123,600 ",N/A,Engine: V8 Turbo 4.0 Liter,7G-TRONIC 7 Speed Automatic Mode Select with Manual Mode (722.9),G550,Luxury Utility,416@5250,13 City /  14 Hwy,
2018 Mercedes-Benz Metris,"$33,900 ",N/A,Engine: 4-Cyl Turbo 2.0 Liter,7G-TRONIC 7 Speed Automatic Mode Select with Manual Mode,Base Passenger Van,Minivan,208@5500,19 City /  23 Hwy,
2018 Mercedes-Benz C-Class,"$40,250 ",Average,Engine: 4-Cyl Turbo 2.0 Liter,9G-TRONIC 9 Speed Automatic Mode Select with Manual Mode,C300 Sedan,Premium Compact Passenger Car,241@5550,24 City /  33 Hwy,
2018 Mercedes-Benz GLE-Class,"$52,200 ",Above Average,Engine: V6 3.5 Liter,7G-TRONIC PLUS 7 Speed Automatic Mode Select with Manual Mode,GLE350 Sport Utility,Luxury Utility,302@6500,18 City /  23 Hwy,
2018 Mercedes-Benz GLC-Class Coupe,"$46,600 ",Average,Engine: 4-Cyl Turbo 2.0 Liter,9 Speed Automatic Mode Select with Manual Mode,GLC300 Coupe ,Luxury Utility,241@5500,22 City /  27 Hwy,
2018 Mercedes-Benz S-Class,"$89,900 ",Poor,Engine: V6 Turbo 3.0 Liter,9G-TRONIC 9 Speed Automatic Mode Select with Manual Mode,S450  Sedan,Luxury Passenger Car,362@5500,19 City /  28 Hwy,
2018 Mercedes-Benz GLC-Class,"$40,050 ",Below Average,Engine: 4-Cyl Turbo 2.0 Liter,9 Speed Automatic Mode Select with Manual Mode,GLC300  Sport Utility,Premium Compact Utility,241@5500,22 City /  28 Hwy,
2018 Mercedes-Benz SL-Class,"$88,200 ",Below Average,Engine: V6 Turbo 3.0 Liter,9G-TRONIC 9 Speed Automatic Mode Select with Manual Mode,SL450  Convertible,Luxury Performance Car,362@5500,20 City /  28 Hwy,
2018 Mercedes-Benz AMG GT,"$112,400 ",Below Average,Engine: V8 Turbo 4.0 Liter AMG,AMG SPEEDSHIFT 7 Speed Automatic,Base Coupe,Luxury Performance Car,469@6000,16 City /  22 Hwy,
2018 MINI Clubman,"$24,800 ",Average,Engine: 3-Cyl Turbo 1.5 Liter,6 Speed Manual (6MTT220),Base Wagon,Compact Passenger Car,134@4400,24 City /  34 Hwy,
2018 MINI Hardtop,"$22,600 ",Above Average,Engine: 3-Cyl Turbo 1.5 Liter,6 Speed Manual (6MTT220),Base 4-Door Hatchback,Compact Passenger Car,134@4400,27 City /  35 Hwy,
2018 MINI Countryman,"$26,600 ",Below Average,Engine: 3-Cyl Turbo 1.5 Liter,6 Speed Manual (GMTT220),Base,Compact Utility,134@4400,24 City /  32 Hwy,
2018 MINI Convertible,"$26,700 ",Excellent,Engine: 3-Cyl Turbo 1.5 Liter,6 Speed Manual (6MTT220),Base Convertible,Convertible,134@4400,27 City /  35 Hwy,
2018 Mitsubishi Outlander Sport,"$20,395 ",Below Average,Engine: 4-Cyl 2.0 Liter,INVECS-III 5 Speed Manual,ES FWD (Manual) Sport Utility,Compact Utility,148@6000,23 City /  29 Hwy,
2018 Mitsubishi Eclipse Cross,"$26,395 ",N/A,Engine: 4-Cyl Turbo 1.5 Liter,Continuously Variable Automatic Mode Select with Manual Mode (F1CJC),SE AWD,Compact Utility,152@6000,25 City /  26 Hwy,
2018 Mitsubishi Mirage,"$13,395 ",Below Average,Engine: 3-Cyl 1.2 Liter MIVEC,5 Speed Manual (5MT),ES (Manual) Hatchback,Compact Passenger Car,78@6000,33 City /  41 Hwy,
2018 Mitsubishi Outlander,"$23,945 ",Poor,Engine: 4-Cyl 2.4 Liter,INVECS-III w/Sportronic Continuously Variable Automatic with Manual Mode (CVT),ES FWD,Mid-Size Utility,166@6000,25 City /  30 Hwy,
2018 Nissan Titan,"$35,680 ",N/A,Engine: V8 5.6 Liter Endurance®,7 Speed Automatic Mode Select with Manual Mode,S 2WD Crew Cab,Full-Size Pickup LD,390@5800,15 City /  21 Hwy,
2018 Nissan Murano,"$30,800 ",Poor,Engine: V6 3.5 Liter,Xtronic Continuously Variable Automatic,S FWD,Premium Mid-Size Utility,260@6000,21 City /  28 Hwy,
2018 Nissan Armada,"$46,090 ",Poor,Engine: V8 5.6 Liter,7 Speed Automatic Mode Select with Manual Mode,SV 2WD,Premium Full-Size Utility,390@5800,14 City /  19 Hwy,
2018 Nissan Sentra,"$18,275 ",Poor,Engine: 4-Cyl 1.8 Liter,Xtronic Continuously Variable Automatic Mode Select,S (Auto) Sedan,Compact Passenger Car,130@6000,29 City /  37 Hwy,
2018 Nissan Altima,"$23,260 ",Below Average,Engine: 4-Cyl 2.5 Liter,Xtronic Continuously Variable Automatic Mode Select,2.5 S Sedan,Passenger Car,179@6000,27 City /  38 Hwy,
2018 Nissan Rogue Sport,"$21,640 ",N/A,Engine: 4-Cyl 2.0 Liter,Xtronic Continuously Variable Automatic Mode Select with Manual Mode,S FWD,Compact Utility,141@6000,25 City /  32 Hwy,
2018 Nissan 370Z,"$41,820 ",Below Average,Engine: V6 3.7 Liter,7 Speed Automatic with Manual Mode,Base Convertible,Performance Car,332@7000,18 City /  25 Hwy,
2018 Nissan Kicks,N/A,N/A,N/A,N/A,S,N/A,N/A,N/A,SUV/Crossover
2018 Nissan Pathfinder,"$31,040 ",Poor,Engine: V6 3.5 Liter,Xtronic Continuously Variable Automatic,S 2WD,Full-Size Utility,284@6400,20 City /  27 Hwy,
2018 Nissan Versa,"$14,250 ",Below Average,Engine: 4-Cyl 1.6 Liter,Xtronic Continuously Variable Automatic,S Plus Sedan,Compact Passenger Car,109@6000,31 City /  39 Hwy,
2018 Nissan Titan XD,"$42,490 ",N/A,Engine: V8 Turbo Diesel 5.0 Liter Cummins®,Aisin® 6 Speed Automatic with Manual Mode,S Diesel 2WD Crew Cab,Full-Size Pickup HD,310@3200,N/A,Truck
2018 Nissan GT-R,"$99,990 ",N/A,Engine: V6 Turbo 3.8 Liter,6 Speed Automatic (GR6),Pure Coupe,Premium Performance Car,565@6800,16 City /  22 Hwy,
2018 Nissan Rogue,"$24,800 ",Below Average,Engine: 4-Cyl 2.5 Liter,Xtronic Continuously Variable Automatic Mode Select,S 2WD,Compact Utility,170@6000,26 City /  33 Hwy,
2018 Nissan Versa Note,"$15,600 ",Below Average,Engine: 4-Cyl 1.6 Liter,Xtronic Continuously Variable Automatic,S Hatchback,Compact Passenger Car,109@6000,31 City /  39 Hwy,
2018 Nissan NV200,"$21,900 ",Excellent,Engine: 4-Cyl 2.0 Liter,Xtronic Continuously Variable Automatic,S Cargo Van,Cargo Van,131@5200,24 City /  26 Hwy,
2018 Nissan Frontier,"$33,790 ",Average,Engine: V6 4.0 Liter,5 Speed Automatic,PRO-4X 4WD (Auto) Crew Cab,Mid-Size Pickup,261@5600,15 City /  21 Hwy,
2018 Nissan Maxima,"$33,270 ",Poor,Engine: V6 3.5 Liter,Xtronic Continuously Variable Automatic Mode Select with Manual Mode,S Sedan,Premium Passenger Car,300@6400,21 City /  30 Hwy,
2018 Nissan LEAF,"$29,990 ",Average,"Motor, Single Electric",1 Speed Automatic,S Hatchback,Passenger Car,107,125 City /  100 Hwy,
2018 Nissan NV,"$28,850 ",N/A,Engine: V6 4.0 Liter,5 Speed Automatic,1500 S Cargo Van,Cargo Van,261@5600,N/A,Van
2018 Porsche 718 Boxster,"$57,400 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,6 Speed Manual,Base Convertible,Premium Performance Car,300@6500,21 City /  28 Hwy,
2018 Porsche Panamera,"$85,000 ",Average,Engine: V6 Turbo 3.0 Liter,Porsche Doppelkupplungsgetriebe (PDK) 8 Speed Automatic (PDK),Base Sedan,Luxury Performance Car,330@5400,21 City /  28 Hwy,
2018 Porsche 911,"$91,100 ",Excellent,Engine: 6-Cyl Turbo 3.0 Liter,7 Speed Manual,Carrera Coupe,Luxury Performance Car,370@6500,22 City /  30 Hwy,
2018 Porsche Macan,"$47,800 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,Porsche Doppelkupplungsgetriebe (PDK) 7 Speed Automatic (PDK),Base,Premium Mid-Size Utility,252@5000,20 City /  25 Hwy,
2018 Porsche Cayenne,"$60,600 ",Above Average,Engine: V6 3.6 Liter,Tiptronic S 8 Speed Automatic with Manual Mode,Base,Luxury Utility,300@6300,18 City /  24 Hwy,
2018 Porsche 718 Cayman,"$55,300 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,6 Speed Manual,Base Coupe,Premium Performance Car,300@6500,21 City /  28 Hwy,
2018 Ram ProMaster,"$29,995 ",Below Average,Engine: V6 Flex Fuel 3.6 Liter Pentastar,AutoStick 6 Speed Automatic Mode Select with Manual Mode (62TE),1500 w/118 WB Low Roof Cargo Van,Cargo Van,280@6400,13 City /  18 Hwy,
